app_family_mots,active_org,asset_id,application_name,auto_sub_cat3,closed_date,current_ticket_state,durations,delivery_center,effort,hold_time,last_modified_time,last_resolved_date,lob_name,owner_name,problem_abstract,problem_mapping,reported_date_time,responded_date,service_restored_date,severity,sla_response,sla_contract,system_user,ticket_number,ticket_source,ticket_type,time_submitted,work_queue
Project 1,Org_1,,MSTR,Functionality,17-01-17 5:17,Closed,3498,Not Defined,240,10,17-01-17 5:17,17-01-17 5:17,BI Reports,,PROD MACHINE : laq9ndwpr01 : Job dat-inh-rdm-q9n558_rdm550sqppsmdf.s failed with exit code 100,Not Defined,14-01-17 6:18,Not Defined,17-01-17 5:17,3,Met,Met,BI Data,INC000020793173,Remedy,Incident,14-01-17 6:18,SRVCAM-AM BI-Data
Project 1,Org_1,,MSTR,Configuration,15-01-17 5:17,In Progress,1198924,Not Defined,Not Defined,10,15-01-17 5:17,14-01-17 5:11,BI Reports,owner_name1387,Access enabled. Confirmed from user.,Not Defined,30-01-16 3:44,30-01-16 3:44,13-02-16 12:46,3,Met,Met,BI Reports,INC000019343584,Remedy,Incident,30-01-16 3:44,SRVCAM-AM BI-Reports
Project 1,Org_1,,MSTR,Training / How to,15-01-17 5:17,In Progress,650,Not Defined,150,10,15-01-17 5:17,15-01-17 5:17,BI Reports,owner_name2398,PROD MACHINE  vwhemstpr05: Error Code: 510 Job rpt-inh-mst-lcl711_slv0003.f is running longer than t,Not Defined,13-01-17 5:00,Not Defined,14-01-17 5:11,2,Met,Met,BI Reports,INC000020793217,Remedy,Incident,13-01-17 5:00,SRVCAM-AM BI-Reports
Project 1,Org_1,,MSTR,Access,16-01-17 5:41,In Progress,3618,Not Defined,240,10,16-01-17 5:41,15-01-17 5:17,BI Reports,owner_name3272,PROD MACHINE  laq9ndwpr01: Error Code: 510 Job dat-inh-rdm-q9n558_rdm550sqppsmdf.s is running longer,Not Defined,13-01-17 4:16,Not Defined,15-01-17 5:17,3,Met,Met,BI Data,INC000020793170,Remedy,Incident,13-01-17 4:16,SRVCAM-AM BI-Data
Project 1,Org_1,,MSTR,,24-01-16 3:21,In Progress,1138247,Not Defined,Not Defined,10,24-01-16 3:21,16-01-17 5:41,BI Reports,,The job has failed as the report got failed due to save to document error for 31st May. Job kept ON ICE temporarily,Not Defined,31-05-16 9:01,31-05-16 9:07,13-06-16 1:12,3,Met,Met,BI Reports,INC000019866513,Remedy,Incident,31-05-16 9:01,SRVCAM-AM BI-Reports
Project 1,Org_1,,MSTR,Access,14-05-16 11:43,Resolved,5123930,Not Defined,Not Defined,10,25-01-16 8:59,13-01-17 5:17,BI Reports,owner_name2513,User confirmed that issue has been addressed.,Not Defined,16-03-16 4:24,16-03-16 4:24,14-05-16 11:43,2,Met,Met,BI Data,INC000019562669,Remedy,Service Request,16-03-16 4:24,SRVCAM-AM BI-Data
Project 1,Org_1,Desktop Software,MSTR,Service Unavailable,14-02-16 2:21,In Progress,1560918,Not Defined,Not Defined,10,24-01-16 6:58,14-01-17 5:11,BI Reports,owner_name1966,Converted to PBI #PBI000000178355 for further investigation.,Not Defined,27-01-16 12:46,Not Defined,14-02-16 2:21,4,Met,Met,BI Reports,INC000019331669,Remedy,Incident,27-01-16 12:46,SRVCAM-AM BI-Reports
Project 1,Org_1,,Admin,Other,14-05-16 9:31,In Progress,1329228,Not Defined,Not Defined,10,13-01-17 5:42,13-01-17 5:17,Admin,owner_name3104,User's account has been enabled. Please raise a new ticket if any issue is faced.,Not Defined,29-04-16 12:17,29-04-16 12:17,14-05-16 9:31,3,Met,Met,BI Admin,INC000019728232,Remedy,Incident,29-04-16 12:17,SRVCAM-AM BI-Reports Admin
Project 1,Org_1,Directory,MSTR,Password Reset,13-01-17 11:44,In Progress,23116,Not Defined,240,10,13-01-17 11:45,16-01-17 5:41,BI Reports,owner_name2398,PROD MACHINE : laq9ndwpr01 : Job dat-inh-rdm-q9n651_prd641fast.s failed with exit code 121,Not Defined,13-01-17 5:19,Not Defined,15-01-17 5:17,3,Met,Met,BI Data,INC000020792195,Remedy,Incident,13-01-17 5:19,SRVCAM-AM BI-Data
Project 1,Org_1,Directory,MSTR,Profile,14-05-16 9:59,In Progress,1343426,Not Defined,Not Defined,10,14-05-16 9:59,15-01-17 5:17,BI Reports,owner_name834,Details Provided.,Not Defined,29-04-16 8:48,Not Defined,14-05-16 9:59,3,Met,Met,BI Data,INC000019726576,Remedy,Service Request,29-04-16 8:48,SRVCAM-AM BI-Data
Project 1,Org_1,,MSTR,Connectivity,14-03-16 3:54,In Progress,1369407,Not Defined,Not Defined,10,14-03-16 3:54,25-01-16 9:37,BI Reports,owner_name1848,Resolution conveyed. User replied that issue is now resolved.,Not Defined,27-02-16 7:31,27-02-16 7:31,14-03-16 3:54,3,Met,Met,BI Reports,INC000019465547,Remedy,Incident,27-02-16 7:31,SRVCAM-AM BI-Reports
Project 1,Org_1,,MSTR,Access,13-01-17 5:41,In Progress,6023,Not Defined,240,10,24-01-16 3:21,24-01-16 3:21,BI Reports,owner_name1387,PROD MACHINE : laq9ndwpr01 : Job dat-inh-rdm-q9n021_prd102sp.s failed with exit code 70,Not Defined,13-01-17 4:01,Not Defined,16-01-17 5:41,3,Met,Met,BI Data,INC000020793156,Remedy,Incident,13-01-17 4:01,SRVCAM-AM BI-Data
Project 1,Org_1,Directory,MSTR,Configuration,13-06-16 1:26,In Progress,1208472,Not Defined,Not Defined,10,25-01-16 10:17,25-01-16 10:17,BI Reports,owner_name235,Confirmation from the user to close the incident as the issue is resolved and user is able to access micro strategy,Not Defined,30-05-16 1:45,30-05-16 1:45,13-06-16 1:26,4,Met,Met,BI Reports,INC000019861133,Remedy,Incident,30-05-16 1:45,SRVCAM-AM BI-Reports
Project 1,Org_1,Directory,MSTR,Unable to Login,14-02-16 2:46,Closed,2262471,Not Defined,Not Defined,10,14-02-16 2:46,24-01-16 3:34,BI Reports,owner_name1309,User now have access to INV report folder,Not Defined,19-01-16 10:18,19-01-16 10:18,14-02-16 2:46,3,Met,Met,BI Reports,INC000019298955,Remedy,Incident,19-01-16 10:18,SRVCAM-AM BI-Reports
Project 1,Org_1,Desktop Software,MSTR,Configuration,14-01-17 11:46,Closed,19666,Not Defined,240,10,16-01-17 9:11,16-01-17 9:11,BI Reports,owner_name3273,PROD MACHINE : laq9ndwpr01 : Job dat-inh-rdm-q9n651_prd641fast.s failed with exit code 121,Not Defined,14-01-17 6:18,Not Defined,14-01-17 11:46,3,Met,Met,BI Data,INC000020795087,Remedy,Incident,14-01-17 6:18,SRVCAM-AM BI-Data
Project 1,Org_1,Desktop Software,MSTR,Configuration,13-01-17 5:40,Resolved,6241,Not Defined,240,10,25-01-16 8:59,25-01-16 8:59,BI Reports,owner_name1966,PROD MACHINE : laq9ndwpr01 : Job dat-inh-rdm-q9n021_prd102cth.s failed with exit code 70,Not Defined,13-01-17 3:56,Not Defined,13-01-17 5:17,3,Met,Met,BI Data,INC000020793149,Remedy,Incident,13-01-17 3:56,SRVCAM-AM BI-Data
Project 1,Org_1,Directory,MSTR,Unable to Login,13-01-17 5:42,Closed,5062,Not Defined,240,10,24-01-16 6:58,24-01-16 6:58,BI Reports,owner_name1736,PROD MACHINE : laq9ndwpr01 : Job dat-inh-rdm-q9n021_prd102ctt.s failed with exit code 60,Not Defined,13-01-17 4:18,Not Defined,14-01-17 5:11,3,Met,Met,BI Data,INC000020793172,Remedy,Incident,13-01-17 4:18,SRVCAM-AM BI-Data
Project 1,Org_1,,MSTR,Configuration,13-01-17 5:41,Resolved,6044,Not Defined,240,10,24-01-16 8:04,24-01-16 8:04,BI Reports,owner_name1848,PROD MACHINE : laq9ndwpr01 : Job dat-inh-rdm-q9n021_prd102ctd.s failed with exit code 70,Not Defined,13-01-17 4:01,Not Defined,15-01-17 5:17,3,Met,Met,BI Data,INC000020793157,Remedy,Incident,13-01-17 4:01,SRVCAM-AM BI-Data
Project 1,Org_1,Desktop Software,MSTR,Configuration,14-03-16 12:33,Resolved,1150958,Not Defined,Not Defined,10,24-01-16 4:32,24-01-16 4:32,BI Reports,owner_name1966,Micro strategy account enabled and mail sent to user. Hence resolving the issue,Not Defined,29-02-16 4:50,29-02-16 4:50,15-01-17 5:17,3,Met,Met,BI Reports,INC000019482386,Remedy,Incident,29-02-16 4:50,SRVCAM-AM BI-Reports
Project 1,Org_1,,MSTR,Other,14-03-16 2:33,Resolved,1183405,Not Defined,Not Defined,10,14-03-16 2:33,14-03-16 2:33,BI Reports,owner_name3272,The tables mentioned in your list was populated through our store loading process. Our P140 database is having some performance issue due to that there was a delay in loading these tables. Now the issue is fixed with the expedite CRQ000001198144. Going forward you would no longer see the delay in these tables,Not Defined,29-02-16 9:50,Not Defined,16-01-17 5:41,4,Met,Met,BI Data,INC000019480506,Remedy,Incident,29-02-16 9:50,SRVCAM-AM BI-Data
Project 1,Org_1,RTBS/Portal,MSTR,Unable to Login,13-10-16 10:37,Resolved,1093857,Not Defined,Not Defined,10,13-10-16 10:37,13-10-16 10:37,BI Reports,owner_name834,"1. State the issue: Job max run
2. Why it happened: Update STR_PRC_HIST statement took longer than expected
3. Job Failed/long running:max-run
4. Downstream impact: no impact
5. Resolution applied: Job completed it's run by Sep 30, 2016 6:52:01 PM
6. What should be done to prevent the inflow of such tickets: NA",Not Defined,30-09-16 6:46,Not Defined,13-10-16 10:37,2,Met,Met,BI Data,INC000020425526,Remedy,Incident,30-09-16 6:46,SRVCAM-AM BI-Data
Project 1,Org_1,Desktop Software,MSTR,Configuration,13-09-16 11:14,Resolved,1128655,Not Defined,Not Defined,10,13-09-16 11:14,13-09-16 11:14,BI Reports,owner_name1966,"1. State the issue: User was not able to access Microstrategy reports.
2. Why it happened: NA
3. Data Issue: NO
4. Dependent Job Delay/Job fail: NA 
5. Resolution applied: NA
6. What should be done to prevent the inflow of such tickets: NA",Not Defined,31-08-16 9:44,31-08-16 9:44,13-09-16 11:14,3,Met,Met,BI Reports,INC000020280565,Remedy,Service Request,31-08-16 9:44,SRVCAM-AM BI-Reports
Project 1,Org_1,Desktop Hardware,Admin,Fault,13-03-16 11:32,Closed,1145625,Not Defined,Not Defined,10,13-03-16 11:32,13-03-16 11:32,Admin,owner_name1848,Micro strategy account enabled,Not Defined,29-02-16 5:18,Not Defined,13-03-16 11:32,4,Met,Met,BI Admin,INC000019482949,Remedy,Service Request,29-02-16 5:18,SRVCAM-AM BI-Reports Admin
Project 1,Org_1,,MSTR,Configuration,14-02-16 2:20,Resolved,1560284,Not Defined,Not Defined,10,14-02-16 2:20,14-02-16 2:20,BI Reports,owner_name1736,Issue Resolved. User confirmed the same.,Not Defined,27-01-16 12:56,Not Defined,14-02-16 2:20,3,Met,Met,BI Reports,INC000019331964,Remedy,Service Request,27-01-16 12:56,SRVCAM-AM BI-Reports
Project 1,Org_1,Directory,MSTR,Password Reset,13-04-16 3:58,Closed,6646,Not Defined,Not Defined,10,13-04-16 3:58,13-04-16 3:58,BI Reports,owner_name1492,"Cancelling high incident for QA request, kindly share the new incident with low priority",Not Defined,13-04-16 2:07,13-04-16 2:07,13-04-16 3:58,2,Met,Met,BI Reports,INC000019668312,Remedy,Incident,13-04-16 2:07,SRVCAM-AM BI-Reports
Project 1,Org_1,,MSTR,Functionality,13-01-17 5:42,Resolved,5214,Not Defined,240,10,13-01-17 5:42,13-01-17 5:42,BI Reports,owner_name2051,PROD MACHINE : laq9ndwpr01 : Job dat-inh-rdm-q9n021_prd104eft.s failed with exit code 70,Not Defined,13-01-17 4:15,Not Defined,13-01-17 5:17,3,Met,Met,BI Data,INC000020793169,Remedy,Incident,13-01-17 4:15,SRVCAM-AM BI-Data
Project 1,Org_1,,MSTR,Access,14-03-16 2:52,Closed,1186364,Not Defined,Not Defined,10,14-03-16 2:52,14-03-16 2:52,BI Reports,owner_name1387,confirmation from the user that expected things appearing on the report,Not Defined,29-02-16 9:19,Not Defined,14-01-17 5:11,4,Met,Met,BI Reports,INC000019479379,Remedy,Incident,29-02-16 9:19,SRVCAM-AM BI-Reports
Project 1,Org_1,,MSTR,Access,14-03-16 8:25,Closed,1799187,Not Defined,Not Defined,10,14-03-16 8:25,14-03-16 8:25,BI Reports,owner_name1224,converted to PBI000000179621 for further analysis,Not Defined,22-02-16 12:39,22-02-16 12:39,15-01-17 5:17,3,Met,Met,BI Reports,INC000019444190,Remedy,Incident,22-02-16 12:39,SRVCAM-AM BI-Reports
Project 1,Org_1,,MSTR,Functionality,14-05-16 8:59,Resolved,1314852,Not Defined,Not Defined,10,14-05-16 8:59,14-05-16 8:59,BI Reports,owner_name2051,Relating to INC000019711937 as we have a similar request,Not Defined,29-04-16 3:45,Not Defined,15-01-17 5:17,4,Met,Met,BI Reports,INC000019729215,Remedy,Service Request,29-04-16 3:45,SRVCAM-AM BI-Reports
Project 1,Org_1,Desktop Software,MSTR,Configuration,13-01-17 11:45,Closed,9026,Not Defined,240,10,13-01-17 11:45,13-01-17 11:45,BI Reports,owner_name1966,PROD MACHINE : no machine : Job dat-inh-rdm-q9n651_prdstats.b failed with exit code 1,Not Defined,13-01-17 9:15,Not Defined,16-01-17 5:41,3,Met,Met,BI Data,INC000020792491,Remedy,Incident,13-01-17 9:15,SRVCAM-AM BI-Data
Project 1,Org_1,Directory,Admin,Permissions,13-03-16 11:34,Closed,1147243,Not Defined,Not Defined,10,13-03-16 11:34,13-03-16 11:34,Admin,owner_name1736,Micro strategy account enabled,Not Defined,29-02-16 4:53,Not Defined,13-03-16 11:34,4,Met,Met,BI Admin,INC000019482932,Remedy,Service Request,29-02-16 4:53,SRVCAM-AM BI-Reports Admin
Project 1,Org_1,,MSTR,Functionality,14-05-16 10:37,Resolved,1508642,Not Defined,Not Defined,10,14-05-16 10:37,14-05-16 10:37,BI Reports,owner_name2051,User confirmed that issue has been resolved.,Not Defined,27-04-16 11:33,Not Defined,14-05-16 10:37,4,Met,Met,BI Data,INC000019720702,Remedy,Service Request,27-04-16 11:33,SRVCAM-AM BI-Data
Project 1,Org_1,Directory,MSTR,Access,14-06-16 3:54,Resolved,1183955,Not Defined,Not Defined,10,14-06-16 3:54,14-06-16 3:54,BI Reports,,"bad data recevied from the source.
new veiw was deployed.
INC000019883155 was assigned to DBA for implementing the new view.",Not Defined,31-05-16 11:01,Not Defined,14-06-16 3:54,3,Met,Met,BI Data,INC000019870575,Remedy,Incident,31-05-16 11:01,SRVCAM-AM BI-Data
Project 1,Org_1,Directory,MSTR,Password Reset,13-06-16 1:24,Resolved,1210793,Not Defined,Not Defined,10,13-06-16 1:24,13-06-16 1:24,BI Reports,owner_name192,no response from user. Hence resolving the issue,Not Defined,30-05-16 1:04,30-05-16 1:04,13-06-16 1:24,4,Met,Met,BI Reports,INC000019861210,Remedy,Service Request,30-05-16 1:04,SRVCAM-AM BI-Reports
Project 1,Org_1,Directory,MSTR,Password Reset,13-11-16 10:05,Resolved,23669,Not Defined,150,10,13-11-16 10:05,13-11-16 10:05,BI Reports,owner_name1404,PROD MACHINE : lclrspd9 : Job dat-inh-ndw-lcl250_sun5.s failed with exit code 1,Not Defined,13-11-16 3:30,Not Defined,13-11-16 10:05,2,Met,Met,BI Data,INC000020583940,Remedy,Incident,13-11-16 3:30,SRVCAM-AM BI-Data
Project 1,Org_1,Desktop Software,MSTR,Configuration,13-09-16 11:57,Resolved,4502406,Not Defined,Not Defined,10,13-09-16 11:57,13-09-16 11:57,BI Reports,owner_name1966,"No action required from reporting team, as BW team is unable to recover the data as mentioned in the notes",Not Defined,23-07-16 9:17,23-07-16 9:17,13-09-16 11:57,4,Met,Met,BI Reports,INC000020089105,Remedy,Service Request,23-07-16 9:17,SRVCAM-AM BI-Reports
Project 1,Org_1,,MSTR,Profile,13-12-16 7:59,Closed,33981,Not Defined,240,10,13-12-16 7:59,13-12-16 7:59,BI Reports,owner_name441,PROD MACHINE  lclrspd9: Error Code: 510 Job dat-inh-wrd-lcl190_183wc.f is running longer than the ma,Not Defined,13-12-16 10:32,Not Defined,13-12-16 7:59,3,Met,Met,BI Data,INC000020684171,Remedy,Incident,13-12-16 10:32,SRVCAM-AM BI-Data
Project 1,Org_1,Directory,MSTR,Password Reset,14-03-16 5:41,Resolved,1451328,Not Defined,Not Defined,10,14-03-16 5:41,14-03-16 5:41,BI Reports,owner_name2398,Data has been caught up for the store and confirmation from the user to resolve the issue,Not Defined,26-02-16 10:32,26-02-16 10:32,14-03-16 5:41,3,Met,Met,BI Reports,INC000019461585,Remedy,Incident,26-02-16 10:32,SRVCAM-AM BI-Reports
Project 1,Org_1,Directory,MSTR,Password Reset,13-06-16 1:46,Resolved,1485610,Not Defined,Not Defined,10,13-06-16 1:46,13-06-16 1:46,BI Reports,owner_name1387,User need to call SDM helpdesk for access,Not Defined,27-05-16 9:06,27-05-16 9:06,13-06-16 1:46,4,Met,Met,BI Reports,INC000019844680,Remedy,Service Request,27-05-16 9:06,SRVCAM-AM BI-Reports
Project 1,Org_1,,MSTR,Access,14-03-16 3:53,Closed,1363958,Not Defined,Not Defined,10,14-03-16 3:53,14-03-16 3:53,BI Reports,owner_name1224,Confirmation from the user to resolve the incident,Not Defined,27-02-16 9:01,27-02-16 9:01,14-03-16 3:53,3,Met,Met,BI Reports,INC000019465583,Remedy,Incident,27-02-16 9:01,SRVCAM-AM BI-Reports
Project 1,Org_1,Directory,Admin,Password Reset,14-05-16 9:30,Resolved,1328984,Not Defined,Not Defined,10,14-05-16 9:30,14-05-16 9:30,Admin,,User's account has been enabled. Please try accessing the reports and raise a new ticket if you face any issue.,Not Defined,29-04-16 12:21,29-04-16 12:21,14-05-16 9:30,4,Met,Met,BI Admin,INC000019728241,Remedy,Incident,29-04-16 12:21,SRVCAM-AM BI-Reports Admin
Project 1,Org_1,Directory,MSTR,Password Reset,Not Defined,Closed,Not Defined,Not Defined,Not Defined,10,14-01-17 12:59,14-01-17 12:59,BI Reports,owner_name192,Incorrect data in Department Roll up feed,Not Defined,14-01-17 12:59,14-01-17 12:59,14-01-17 12:59,3,Not Defined,Not Defined,BI Data,INC000020794413,Remedy,Service Request,14-01-17 12:59,SRVCAM-AM BI-Data
Project 1,Org_1,Directory,MSTR,Password Reset,14-03-16 8:11,Closed,1710616,Not Defined,Not Defined,10,14-03-16 8:11,23-01-17 12:35,BI Reports,owner_name1377,Converted into PBI000000180005 for furthur investigation.,Not Defined,23-02-16 1:00,23-02-16 1:00,19-01-17 8:37,3,Met,Met,BI Data,INC000019450612,Remedy,Incident,23-02-16 1:00,SRVCAM-AM BI-Data
Project 1,Org_1,Desktop Software,MSTR,Access,14-05-16 11:37,Closed,3845416,Not Defined,Not Defined,10,14-05-16 11:37,23-01-17 12:35,BI Reports,,No response from user thus closing ticket.,Not Defined,31-03-16 11:26,31-03-16 11:26,23-01-17 12:35,3,Met,Met,BI Data,INC000019616103,Remedy,Service Request,31-03-16 11:26,SRVCAM-AM BI-Data
Project 1,Org_1,Desktop Hardware,MSTR,Connectivity,13-01-17 5:18,Closed,3533,Not Defined,240,10,13-01-17 5:18,23-01-17 12:35,BI Reports,,PROD MACHINE : no machine : Job dat-inh-rdm-q9n558_prddly.b failed with exit code 1,Not Defined,13-01-17 4:19,Not Defined,23-01-17 12:35,3,Met,Met,BI Data,INC000020793174,Remedy,Incident,13-01-17 4:19,SRVCAM-AM BI-Data
Project 1,Org_1,,MSTR,Other,14-01-17 11:50,Resolved,9275,Not Defined,240,10,14-01-17 11:50,23-01-17 12:35,BI Reports,owner_name3063,PROD MACHINE : no machine : Job dat-inh-rdm-q9n651_prdstats.b failed with exit code 1,Not Defined,14-01-17 9:15,Not Defined,23-01-17 12:35,3,Met,Met,BI Data,INC000020795314,Remedy,Incident,14-01-17 9:15,SRVCAM-AM BI-Data
Project 1,Org_1,,MSTR,Configuration,14-06-16 4:11,Resolved,1291214,Not Defined,Not Defined,10,14-06-16 4:11,23-01-17 12:35,BI Reports,owner_name1736,"According to the attached screenshot in the remedy work info, we can see that the site mentioned in the prompt is 4627 while the INC is raised for site 1895.
As per security settings on the user id accessing the reports, the user has access to the site against which he is tagged.

Hence the user is unable to view the site 4627.",Not Defined,30-05-16 5:31,30-05-16 5:31,23-01-17 12:35,4,Met,Met,BI Reports,INC000019862429,Remedy,Service Request,30-05-16 5:31,SRVCAM-AM BI-Reports
Project 1,Org_1,,Admin,Profile,Not Defined,Resolved,Not Defined,Not Defined,Not Defined,10,23-01-17 12:35,23-01-17 12:35,Admin,owner_name1309,Producer smaramg receiving an error when copying objects from Report Transfer.,Not Defined,19-01-17 8:37,19-01-17 8:37,23-01-17 12:35,3,Not Defined,Not Defined,BI Admin,INC000020817975,Remedy,Service Request,19-01-17 8:37,SRVCAM-AM BI-Reports Admin
Project 1,Org_1,,MSTR,Other,26-10-16 6:08,Resolved,36457,Not Defined,Not Defined,10,26-10-16 6:08,23-01-17 12:35,BI Reports,owner_name2021,"1. State the issue:Job failed as the session was aborted.
2. Why it happened: Since the query consumed high CPU and very high PJI thus reaching the threshold limit, session didn’t had enough resources to create volatile table, thus got aborted.
3. Job Failed/long running:Job failed.
4. Downstream impact:ISAT files were delayed to downstream teams
5. Resolution applied:To avoid duplicate issue executed the remaining steps to recover the fail job.Job was completed at Oct 26, 2016 3:52:09 AM
6. Wha",Not Defined,25-10-16 8:00,Not Defined,23-01-17 12:35,2,Met,Met,BI Data,INC000020527566,Remedy,Incident,25-10-16 8:00,SRVCAM-AM BI-Data
Project 1,Org_1,RTBS/PTP,MSTR,Functionality,27-12-16 12:05,Resolved,79423,Not Defined,300,10,27-12-16 12:05,23-01-17 12:35,BI Reports,,Filesystem /y on host lcllxp127 has triggered a MINOR alert for disk space currently utilized.   Cur,Not Defined,26-12-16 2:01,26-12-16 2:03,23-01-17 12:35,4,Met,Met,BI Data,INC000020731048,Remedy,Incident,26-12-16 2:01,SRVCAM-AM BI-Data
Project 1,Org_1,RTBS/PTP,MSTR,Functionality,25-11-16 3:37,Resolved,12166,Not Defined,210,10,25-11-16 3:37,27-01-17 12:35,BI Reports,owner_name2596,PROD MACHINE : laq9ndwpr01 : Job dat-inh-ndw-q9n744_prdgpc.s failed with exit code 1,Not Defined,25-11-16 12:14,Not Defined,27-01-17 12:35,3,Met,Met,BI Data,INC000020626187,Remedy,Incident,25-11-16 12:14,SRVCAM-AM BI-Data
