app_family_mots,active_org,asset_id,application_name,auto_sub_cat3,closed_date,current_ticket_state,durations,delivery_center,effort,hold_time,last_modified_time,last_resolved_date,lob_name,owner_name,problem_abstract,problem_mapping,reported_date_time,responded_date,service_restored_date,severity,sla_response,sla_contract,system_user,ticket_number,ticket_source,ticket_type,time_submitted,work_queue
Project 1,Org_1,Directory,MSTR,Password Reset,24-09-16 7:53,Resolved,946333,Not Defined,Not Defined,10,24-09-16 7:53,27-01-17 12:35,BI Reports,owner_name2513,"DML Command took longer to comlete. working on increasing max run time for these jobs. job completed at 		Sep 13, 2016 9:49:45 AM",Not Defined,13-09-16 9:01,Not Defined,27-01-17 12:35,3,Met,Met,BI Data,INC000020359615,Remedy,Incident,13-09-16 9:01,SRVCAM-AM BI-Data
Project 1,Org_1,,MSTR,Access,21-11-16 12:07,Closed,329660,Not Defined,150,10,21-11-16 12:07,27-01-17 12:35,BI Reports,owner_name1387,PROD MACHINE : laq9ndwpr01 : Job dat-inh-ndw-q9n005_prdtd150dp.s failed with exit code 10,Not Defined,17-11-16 4:33,Not Defined,27-01-17 12:35,2,Met,Met,BI Data,INC000020599277,Remedy,Incident,17-11-16 4:33,SRVCAM-AM BI-Data
Project 1,Org_1,Directory,MSTR,Unable to Login,29-11-16 7:23,Resolved,265848,Not Defined,150,10,29-11-16 7:23,27-01-17 12:35,BI Reports,owner_name1023,PROD MACHINE  no machine: Error Code: 510 Job dat-inh-rdm-q9n675_prddly.b is running longer than the,Not Defined,26-11-16 5:32,Not Defined,27-01-17 12:35,2,Met,Met,BI Data,INC000020631331,Remedy,Incident,26-11-16 5:32,SRVCAM-AM BI-Data
Project 1,Org_1,Desktop Software,MSTR,Access,26-12-16 9:20,Closed,17279,Not Defined,240,20,26-12-16 9:20,27-01-17 12:35,BI Reports,owner_name2513,PROD MACHINE : laq9ndwpr01 : Job dat-inh-ndw-q9n778_prd778scd.s failed with exit code 32,Not Defined,26-12-16 4:32,Not Defined,26-12-16 9:20,3,Met,Met,BI Data,INC000020731882,Remedy,Incident,26-12-16 4:32,SRVCAM-AM BI-Data
Project 1,Org_1,,MSTR,Configuration,30-09-16 7:23,Resolved,948128,Not Defined,Not Defined,20,30-09-16 7:23,27-01-17 12:35,BI Reports,owner_name1377,"1. State the issue: rpt-inh-mst-lcl710_gmarc011.f is running longer
2. Why it happened: Due to CRQ000001215922 jobs are running longer as they started on their run time
3. Data Issue: NO
4. Dependent Job Delay/Job fail: NA 
5. Resolution applied: Job will be completed successfully after the outage
6. What should be done to prevent the inflow of such tickets: NA",Not Defined,19-09-16 8:01,Not Defined,30-09-16 7:23,3,Met,Met,BI Reports,INC000020382069,Remedy,Incident,19-09-16 8:01,SRVCAM-AM BI-Reports
Project 1,Org_1,Directory,MSTR,Unable to Login,25-11-16 3:40,Closed,12383,Not Defined,210,20,25-11-16 3:40,27-01-17 12:35,BI Reports,owner_name1690,PROD MACHINE : no machine : Job dat-inh-ndw-q9n500_prddaily.b failed with exit code 1,Not Defined,25-11-16 12:14,Not Defined,25-11-16 3:40,3,Met,Met,BI Data,INC000020626189,Remedy,Incident,25-11-16 12:14,SRVCAM-AM BI-Data
Project 1,Org_1,Directory,MSTR,Password Reset,22-11-16 3:22,Resolved,5501,Not Defined,210,20,22-11-16 3:22,27-01-17 12:35,BI Reports,owner_name1387,PROD MACHINE  laq9ndwpr01: Error Code: 510 Job dat-inh-rdm-q9n300_bsad.s is running longer than the,Not Defined,22-11-16 1:50,Not Defined,22-11-16 3:22,3,Met,Met,BI Data,INC000020613951,Remedy,Incident,22-11-16 1:50,SRVCAM-AM BI-Data
Project 1,Org_1,,MSTR,Configuration,19-11-16 3:23,Resolved,497243,Not Defined,240,20,19-11-16 3:23,27-01-17 12:35,BI Reports,owner_name2773,PROD MACHINE : laq9ndwpr01 : Job dat-inh-rdm-q9n404_rdm500wmss.s failed with exit code 100,Not Defined,13-11-16 9:15,Not Defined,19-11-16 3:23,3,Met,Met,BI Data,INC000020585083,Remedy,Incident,13-11-16 9:15,SRVCAM-AM BI-Data
Project 1,Org_1,,MSTR,Other,17-11-16 3:28,Resolved,29170,Not Defined,210,20,17-11-16 3:28,17-11-16 3:28,BI Reports,owner_name801,Machine vwkrbsapr09.ngco.com: Job dat-inh-rdm-q9n651_prd641slow.s failed with exit code 1.,Not Defined,17-11-16 7:22,Not Defined,17-11-16 3:28,3,Met,Met,BI Data,INC000020598590,Remedy,Incident,17-11-16 7:22,SRVCAM-AM BI-Data
Project 1,Org_1,Directory,MSTR,Password Reset,28-10-16 10:52,Resolved,1043128,Not Defined,Not Defined,20,28-10-16 10:52,28-10-16 10:52,BI Reports,owner_name192,"1. State the issue: Job max run
2. Why it happened: INSERT INTO rldmprod_T.SM_MKT_BSKT_SITE_MCH1_DLY took time to complete
3. Job Failed/long running:Job max-run
4. Downstream impact: NA
5. Resolution applied:Job completed at Oct 16, 2016 9:31:59 AM
6. What should be done to prevent the inflow of such tickets:Are in contact with DBA team.",Not Defined,16-10-16 9:06,Not Defined,28-10-16 10:52,3,Met,Met,BI Data,INC000020492348,Remedy,Incident,16-10-16 9:06,SRVCAM-AM BI-Data
Project 1,Org_1,Directory,MSTR,Organisational,31-10-16 10:39,Resolved,1215870,Not Defined,Not Defined,20,31-10-16 10:39,31-10-16 10:39,BI Reports,owner_name3239,"Called at store and spoke to Kevin, he confirmed that reports are working fine now. hence resolving the incident",Not Defined,17-10-16 8:55,17-10-16 8:55,31-10-16 10:39,4,Met,Met,BI Reports,INC000020495065,Remedy,Incident,17-10-16 8:55,SRVCAM-AM BI-Reports
Project 1,Org_1,Directory,MSTR,Organisational,21-12-16 9:18,Closed,261629,Not Defined,300,20,21-12-16 9:18,21-12-16 9:18,BI Reports,owner_name3239,Unable to logon to microstrategy,Not Defined,18-12-16 8:37,18-12-16 8:37,21-12-16 9:18,4,Met,Met,BI Reports,INC000020706908,Remedy,RTC Work Request,18-12-16 8:37,SRVCAM-AM BI-Reports
Project 1,Org_1,Directory,MSTR,Profile,23-12-16 9:44,Resolved,1765,Not Defined,240,20,23-12-16 9:44,23-12-16 9:44,BI Reports,owner_name192,PROD MACHINE : no machine : Job dat-inh-rdm-q9n651_prdstats.b failed with exit code 1,Not Defined,23-12-16 9:15,Not Defined,23-12-16 9:44,3,Met,Met,BI Data,INC000020724652,Remedy,Incident,23-12-16 9:15,SRVCAM-AM BI-Data
Project 1,Org_1,,MSTR,Unable to Login,Not Defined,Closed,Not Defined,Not Defined,Not Defined,20,23-01-17 12:35,23-01-17 12:35,BI Reports,owner_name1387,PROD MACHINE  laq9ndwpr01: Error Code: 510 Job dat-inh-sdm-q9n002_orgs.f is running longer than the,Not Defined,22-01-17 7:31,23-01-17 12:35,23-01-17 12:35,3,Not Defined,Not Defined,BI Data,INC000020830170,Remedy,Incident,22-01-17 7:31,SRVCAM-AM BI-Data
Project 1,Org_1,,MSTR,Other,19-12-16 6:21,Closed,513268,Not Defined,240,20,19-12-16 6:21,23-01-17 12:35,BI Reports,owner_name1922,"Hi Network Team,

This is related to the STAS LM recovery project.
We need your help in transferring",Not Defined,13-12-16 7:47,13-12-16 7:47,19-12-16 6:21,3,Met,Met,BI Data,INC000020685153,Remedy,Service Request,13-12-16 7:47,SRVCAM-AM BI-Data
Project 1,Org_1,RTBS/Portal,MSTR,Configuration,19-10-16 4:38,Closed,63447,Not Defined,Not Defined,20,19-10-16 4:38,23-01-17 12:35,BI Reports,owner_name1377,Not Defined,Not Defined,18-10-16 11:00,Not Defined,19-10-16 4:38,4,Met,Met,BI Data,INC000020502082,Remedy,Incident,18-10-16 11:00,SRVCAM-AM BI-Data
Project 1,Org_1,Directory,MSTR,Password Reset,28-10-16 10:19,Resolved,1001859,Not Defined,Not Defined,20,28-10-16 10:19,23-01-17 12:35,BI Reports,owner_name1736,"1. State the issue: Files not recieved at NDW end.
2. Why it happened: There were some disk space issue with databank server.Due to this many DBK jobs didn’t Ftp’d the file proper.
3. Job Failed/long running:File long running
4. Downstream impact: Many of the downstream jobs were waiting.
5. Resolution applied:DBK ftped the files to NDW manually.
6. What should be done to prevent the inflow of such tickets:Are in contact with DBK team.",Not Defined,16-10-16 8:02,Not Defined,28-10-16 10:19,3,Met,Met,BI Data,INC000020494348,Remedy,Incident,16-10-16 8:02,SRVCAM-AM BI-Data
Project 1,Org_1,Directory,MSTR,Password Reset,28-10-16 10:11,Resolved,993044,Not Defined,Not Defined,20,28-10-16 10:11,23-01-17 12:35,BI Reports,owner_name192,"1. State the issue: Files not recieved at NDW end.
2. Why it happened: There were some disk space issue with databank server.Due to this many DBK jobs didn’t Ftp’d the file proper.
3. Job Failed/long running:File long running
4. Downstream impact: Many of the downstream jobs were waiting.
5. Resolution applied:DBK ftped the files to NDW manually.
6. What should be done to prevent the inflow of such tickets:Are in contact with DBK team.",Not Defined,16-10-16 10:21,Not Defined,28-10-16 10:11,3,Met,Met,BI Data,INC000020494725,Remedy,Incident,16-10-16 10:21,SRVCAM-AM BI-Data
Project 1,Org_1,RTBS/MPA,MSTR,Other,21-11-16 12:21,Resolved,10240,Not Defined,150,20,21-11-16 12:21,23-01-17 12:35,BI Reports,,PROD MACHINE  no machine: Error Code: 510 Job dat-inh-rdm-q9n404_prdwkly.b is running longer than th,Not Defined,20-11-16 9:30,Not Defined,21-11-16 12:21,2,Met,Met,BI Data,INC000020609267,Remedy,Incident,20-11-16 9:30,SRVCAM-AM BI-Data
Project 1,Org_1,Sharepoint,MSTR,Other,21-11-16 12:10,In Progress,9328,Not Defined,150,20,21-11-16 12:10,23-01-17 12:35,BI Reports,owner_name2048,teradata_ipr351wgrossprofit_*.dat file not received,Not Defined,20-11-16 9:35,Not Defined,21-11-16 12:10,2,Met,Met,BI Data,INC000020609150,Remedy,Service Request,20-11-16 9:35,SRVCAM-AM BI-Data
Project 1,Org_1,Desktop Software,MSTR,Unable to Login,25-12-16 2:04,In Progress,60549,Not Defined,240,20,25-12-16 2:04,25-12-16 2:04,BI Reports,owner_name261,PROD MACHINE : no machine : Job dat-inh-rdm-q9n651_prdstats.b failed with exit code 1,Not Defined,24-12-16 9:15,Not Defined,25-12-16 2:04,3,Met,Met,BI Data,INC000020727702,Remedy,Incident,24-12-16 9:15,SRVCAM-AM BI-Data
Project 1,Org_1,,MSTR,Access,29-11-16 3:31,In Progress,19709,Not Defined,270,20,29-11-16 3:31,29-11-16 3:31,BI Reports,owner_name2513,Unable to MCH Custom sales and GM analysys pull report in Microstrategy,Not Defined,28-11-16 10:02,28-11-16 10:02,29-11-16 3:31,1,Met,Met,BI Reports,INC000020636353,Remedy,Service Request,28-11-16 10:02,SRVCAM-AM BI-Reports
Project 1,Org_1,Directory,Admin,Permissions,18-11-16 10:58,In Progress,343495,Not Defined,210,20,18-11-16 10:58,18-11-16 10:58,Admin,owner_name3239,AP-0001 - Microstrategy Report//Not loading,Not Defined,14-11-16 11:33,14-11-16 11:33,18-11-16 10:58,3,Met,Met,BI Admin,INC000020588746,Remedy,Service Request,14-11-16 11:33,SRVCAM-AM BI-Reports Admin
Project 1,Org_1,Sharepoint,MSTR,Other,21-11-16 11:42,On Hold,5570,Not Defined,150,20,21-11-16 11:42,21-11-16 11:42,BI Reports,owner_name1922,PROD MACHINE : laq9ndwpr01 : Job dat-inh-rdm-q9n670_rdm673sun.s failed with exit code 100,Not Defined,21-11-16 10:09,Not Defined,21-11-16 11:42,2,Met,Met,BI Data,INC000020610292,Remedy,Incident,21-11-16 10:09,SRVCAM-AM BI-Data
Project 1,Org_1,Directory,MSTR,Unable to Login,28-10-16 10:23,On Hold,1005678,Not Defined,Not Defined,20,28-10-16 10:23,28-10-16 10:23,BI Reports,owner_name1638,"1. State the issue: Files not recieved at NDW end.
2. Why it happened: There were some disk space issue with databank server.Due to this many DBK jobs didn’t Ftp’d the file proper.
3. Job Failed/long running:File long running
4. Downstream impact: Many of the downstream jobs were waiting.
5. Resolution applied:DBK ftped the files to NDW manually.
6. What should be done to prevent the inflow of such tickets:Are in contact with DBK team.",Not Defined,16-10-16 7:02,Not Defined,28-10-16 10:23,3,Met,Met,BI Data,INC000020494210,Remedy,Incident,16-10-16 7:02,SRVCAM-AM BI-Data
Project 1,Org_1,Directory,Admin,Password Reset,24-10-16 12:23,Customer Hold,89783,Not Defined,Not Defined,20,24-10-16 12:23,24-10-16 12:23,Admin,owner_name2513,Report is refreshed successfully now,Not Defined,23-10-16 11:26,Not Defined,24-10-16 12:23,3,Met,Met,BI Admin,INC000020519338,Remedy,Service Request,23-10-16 11:26,SRVCAM-AM BI-Reports Admin
Project 1,Org_1,,MSTR,Configuration,23-09-16 11:38,Customer Hold,2207596,Not Defined,Not Defined,20,23-09-16 11:38,23-09-16 11:38,BI Reports,owner_name2790,There seems no issue with the subscription creation,Not Defined,29-08-16 10:24,Not Defined,23-09-16 11:38,4,Met,Met,BI Reports,INC000020265936,Remedy,Service Request,29-08-16 10:24,SRVCAM-AM BI-Reports
Project 1,Org_1,RTBS/PTP,Admin,Other,24-10-16 10:32,On Hold,2165293,Not Defined,Not Defined,20,24-10-16 10:32,24-10-16 10:32,Admin,,"The backend forms query in such a way that it again fetches current year’s data. It is because of a join in the query.
We are looking into the possible resolutions for the same.
Incident has been converted to a PBI.",Not Defined,29-09-16 9:04,Not Defined,24-10-16 10:32,3,Met,Met,BI Admin,INC000020418988,Remedy,Service Request,29-09-16 9:04,SRVCAM-AM BI-Reports Admin
Project 1,Org_1,Directory,MSTR,Password Reset,30-09-16 7:24,On Hold,948202,Not Defined,Not Defined,20,30-09-16 7:24,30-09-16 7:24,BI Reports,owner_name2513,"1. State the issue: rpt-inh-mst-lcl710_gmarc013.f is running longer
2. Why it happened: Due to CRQ000001215922 jobs are running longer as they started on their run time
3. Data Issue: NO
4. Dependent Job Delay/Job fail: NA 
5. Resolution applied: Job will be completed successfully after the outage
6. What should be done to prevent the inflow of such tickets: NA",Not Defined,19-09-16 8:01,Not Defined,30-09-16 7:24,3,Met,Met,BI Reports,INC000020382062,Remedy,Incident,19-09-16 8:01,SRVCAM-AM BI-Reports
Project 1,Org_1,RTBS/Portal,MSTR,Functionality,26-09-16 11:33,Customer Hold,1011205,Not Defined,Not Defined,20,26-09-16 11:33,26-09-16 11:33,BI Reports,owner_name1387,"Data has been loaded for the site 1573 for 13th Sept and the same data is available on the report. Tried calling at the store but the provided number is not working, hence resolving the incident as data is appearing on SRS-0001 report",Not Defined,14-09-16 6:40,14-09-16 6:40,26-09-16 11:33,4,Met,Met,BI Reports,INC000020366242,Remedy,Incident,14-09-16 6:40,SRVCAM-AM BI-Reports
Project 1,Org_1,Directory,MSTR,Password Reset,29-11-16 4:48,Customer Hold,80242,Not Defined,210,20,29-11-16 4:48,29-11-16 4:48,BI Reports,owner_name1736,PROD MACHINE  laq9ndwpr01: Error Code: 510 Job dat-inh-ndw-q9n585_prd131.f is running longer than th,Not Defined,28-11-16 6:31,Not Defined,29-11-16 4:48,3,Met,Met,BI Data,INC000020635810,Remedy,Incident,28-11-16 6:31,SRVCAM-AM BI-Data
Project 1,Org_1,Sharepoint,MSTR,Other,29-11-16 8:13,On Hold,84346,Not Defined,270,20,29-11-16 8:13,29-11-16 8:13,BI Reports,,SLV004 is not available (Per DC) and general overall speed of mircrostartegy needs to be investigate,Not Defined,28-11-16 8:48,Not Defined,29-11-16 8:13,4,Met,Met,BI Reports,INC000020636140,Remedy,Service Request,28-11-16 8:48,SRVCAM-AM BI-Reports
Project 1,Org_1,RTBS/CTC,MSTR,Results / Data,29-11-16 7:21,Closed,275756,Not Defined,150,20,29-11-16 7:21,29-11-16 7:21,BI Reports,owner_name137,PROD MACHINE : laq9ndwpr01 : Job dat-inh-rdm-q9n675_rdm692dly.s failed with exit code 100,Not Defined,26-11-16 2:45,Not Defined,29-11-16 7:21,2,Met,Met,BI Data,INC000020631046,Remedy,Incident,26-11-16 2:45,SRVCAM-AM BI-Data
Project 1,Org_1,Directory,MSTR,Password Reset,Not Defined,Pending,Not Defined,Not Defined,Not Defined,20,23-01-17 12:35,23-01-17 12:35,BI Reports,owner_name261,PROD MACHINE  laq9ndwpr01: Error Code: 510 Job dat-inh-sdm-q9n002_prorev.f is running longer than th,Not Defined,22-01-17 7:31,23-01-17 12:35,23-01-17 12:35,3,Not Defined,Not Defined,BI Data,INC000020830176,Remedy,Incident,22-01-17 7:31,SRVCAM-AM BI-Data
Project 1,Org_1,Directory,MSTR,Password Reset,26-12-16 11:48,Resolved,41953,Not Defined,240,20,23-01-17 12:35,26-12-16 11:48,BI Reports,owner_name1408,Filesystem y on host laq9ndwpr01 has triggered a MINOR alert for disk space currently utilized.   Cu,Not Defined,26-12-16 12:09,26-12-16 2:12,26-12-16 11:48,3,Met,Met,BI Data,INC000020730955,Remedy,Incident,26-12-16 12:09,SRVCAM-AM BI-Data
Project 1,Org_1,,MSTR,Technical or Configuration,30-12-16 12:32,Resolved,11842,Not Defined,240,20,23-01-17 12:35,30-12-16 12:32,BI Reports,owner_name261,PROD MACHINE : no machine : Job dat-inh-rdm-q9n651_prdstats.b failed with exit code 1,Not Defined,30-12-16 9:15,Not Defined,30-12-16 12:32,3,Met,Met,BI Data,INC000020742760,Remedy,Incident,30-12-16 9:15,SRVCAM-AM BI-Data
Project 1,Org_1,Directory,MSTR,Password Reset,20-01-17 1:01,Resolved,209496,Not Defined,240,20,23-01-17 12:35,20-01-17 1:01,BI Reports,owner_name829,Filesystem x on host laq9ndwpr03 has triggered a MINOR alert for disk space currently utilized.   Cu,Not Defined,17-01-17 2:49,Not Defined,20-01-17 1:01,3,Met,Met,BI Data,INC000020806534,Remedy,Incident,17-01-17 2:49,SRVCAM-AM BI-Data
Project 1,Org_1,,MSTR,Access,30-09-16 3:02,Closed,894601,Not Defined,Not Defined,20,23-01-17 12:35,30-09-16 3:02,BI Reports,owner_name1387,Job failed due to old SUC file,Not Defined,19-09-16 6:32,Not Defined,30-09-16 3:02,2,Met,Met,BI Reports,INC000020384432,Remedy,Incident,19-09-16 6:32,SRVCAM-AM BI-Reports
Project 1,Org_1,Directory,MSTR,Password Reset,19-09-16 4:52,Closed,2082911,Not Defined,Not Defined,20,23-01-17 12:35,19-09-16 4:52,BI Reports,owner_name829,"1. State the issue: Peter was not able to access PL-0001 report
2. Why it happened: User did not have access
3. Data Issue: NO
4. Dependent Job Delay/Job fail: NA 
5. Resolution applied: Martin recreated the user account which fixed the issue.
6. What should be done to prevent the inflow of such tickets: NA",Not Defined,26-08-16 2:17,26-08-16 2:17,19-09-16 4:52,4,Met,Met,BI Reports,INC000020250046,Remedy,Service Request,26-08-16 2:17,SRVCAM-AM BI-Reports
Project 1,Org_1,,MSTR,Configuration,31-10-16 3:25,Resolved,546890,Not Defined,Not Defined,20,31-10-16 3:25,31-10-16 3:25,BI Reports,owner_name1638,Called Towhid and he told that he was able to view SRS report properly and was having issue with access to PL-0001 report and he had raised another incident for PL-0001 report. Hence resolving this incident which was related to SRS report,Not Defined,24-10-16 7:31,24-10-16 7:31,31-10-16 3:25,4,Met,Met,BI Reports,INC000020524124,Remedy,Service Request,24-10-16 7:31,SRVCAM-AM BI-Reports
Project 1,Org_1,Directory,MSTR,Password Reset,22-12-16 12:36,Resolved,274006,Not Defined,240,20,22-12-16 12:36,22-12-16 12:36,BI Reports,owner_name829,Micro strategy password reset,Not Defined,18-12-16 8:29,18-12-16 8:29,22-12-16 12:36,3,Met,Met,BI Reports,INC000020706918,Remedy,Service Request,18-12-16 8:29,SRVCAM-AM BI-Reports
Project 1,Org_1,Directory,MSTR,Password Reset,24-11-16 8:23,Resolved,176637,Not Defined,270,20,24-11-16 8:23,24-11-16 8:23,BI Reports,owner_name1638,SAP BI reports Incorrect.,Not Defined,22-11-16 7:19,22-11-16 7:19,24-11-16 8:23,1,Met,Met,BI Reports,INC000020614609,Remedy,RTC Work Request,22-11-16 7:19,SRVCAM-AM BI-Reports
Project 1,Org_1,,MSTR,Other,27-10-16 5:17,Closed,929717,Not Defined,Not Defined,20,27-10-16 5:17,27-10-16 5:17,BI Reports,owner_name801,"1. State the issue: Job Max-run
2. Why it happened: DML statement insert into rldmprod_T.PD_SITE_MCH0_PI_ADJ took longer time to complete
3. Job Failed/long running:Job long run
4. Downstream impact: NA
5. Resolution applied:job was completed at Oct 16, 2016 11:16:01 AM
6. What should be done to prevent the inflow of such tickets:NA",Not Defined,16-10-16 11:01,Not Defined,27-10-16 5:17,2,Met,Met,BI Data,INC000020492623,Remedy,Incident,16-10-16 11:01,SRVCAM-AM BI-Data
Project 1,Org_1,Directory,MSTR,Password Reset,26-09-16 8:09,Closed,947283,Not Defined,Not Defined,20,26-09-16 8:09,26-09-16 8:09,BI Reports,owner_name829,"1. State the issue: Job max-run
2. Why it happened: Collect STATISTICS statement on rdmprod_T.SL_TRANS_LINE table took longer time to complete
3. Job Failed/long running:long running 
4. Downstream impact: NA 
5. Resolution applied:job was completed at Sep 15, 2016 9:01:21 AM
6. What should be done to prevent the inflow of such tickets:NA",Not Defined,15-09-16 9:01,Not Defined,26-09-16 8:09,2,Met,Met,BI Data,INC000020368172,Remedy,Incident,15-09-16 9:01,SRVCAM-AM BI-Data
Project 1,Org_1,Directory,MSTR,Password Reset,29-11-16 3:29,Resolved,31295,Not Defined,270,20,29-11-16 3:29,29-11-16 3:29,BI Reports,owner_name1638,Unable to open AP-001 DSD Invoice report,Not Defined,28-11-16 6:48,28-11-16 6:48,29-11-16 3:29,1,Met,Met,BI Reports,INC000020635246,Remedy,Service Request,28-11-16 6:48,SRVCAM-AM BI-Reports
Project 1,Org_1,,MSTR,Unable to Login,31-10-16 2:53,Resolved,30658,Not Defined,Not Defined,20,31-10-16 2:53,31-10-16 2:53,BI Reports,owner_name1377,"1. State the issue: Job failed as .dat file didnt exist
2. Why it happened: job failed due to error in connectivity with P140 job
3. Job Failed/long running:Job failed 
4. Downstream impact: NA
5. Resolution applied : Connectivity was checked and job was FS.
6. What should be done to prevent the inflow of such tickets: NA",Not Defined,31-10-16 6:22,Not Defined,31-10-16 2:53,3,Met,Met,BI Data,INC000020542191,Remedy,Incident,31-10-16 6:22,SRVCAM-AM BI-Data
Project 1,Org_1,Directory,MSTR,Password Reset,30-09-16 3:04,Closed,895524,Not Defined,Not Defined,20,30-09-16 3:04,30-09-16 3:04,BI Reports,owner_name2374,Job failed due to old SUC file,Not Defined,19-09-16 6:19,Not Defined,30-09-16 3:04,2,Met,Met,BI Reports,INC000020384418,Remedy,Incident,19-09-16 6:19,SRVCAM-AM BI-Reports
Project 1,Org_1,,MSTR,Password Reset,25-10-16 10:26,Resolved,7440,Not Defined,Not Defined,20,25-10-16 10:26,25-10-16 10:26,BI Reports,owner_name277,confirmation from user,Not Defined,25-10-16 8:22,25-10-16 8:22,25-10-16 10:26,3,Met,Met,BI Reports,INC000020525041,Remedy,Incident,25-10-16 8:22,SRVCAM-AM BI-Reports
